,track,artist,album
311,Brass Ring,Tigers Jaw,spin
312,The Answer,Kodaline,In A Perfect World (Deluxe)
313,Kiss Me,Ed Sheeran,+
314,Lost in Nostalgia,The Maine,Lovely Little Lonely
315,No Fun Club,Frank Iero,Keep the Coffins Coming
316,Hate You,Boston Manor,Welcome to the Neighbourhood
317,One Little Lie,Simple Creatures,Everything Opposite
318,Strange Love,Simple Creatures,Strange Love
319,Strange Love,Simple Creatures,Strange Love
320,Drug,Simple Creatures,Strange Love
321,Get By,Real Friends,Composure
323,Bloodstream,Ed Sheeran,x
324,Plan To Be Surprised,Basement,I Wish I Could Stay Here
325,bellyache,Billie Eilish,dont smile at me
326,Sucks to Be You,Emma Blackery,Sucks to Be You
327,Feeding the Fire,Hayley Kiyoko,This Side of Paradise - EP
328,Ready and Willing (Acoustic),New Found Glory,Resurrection: Ascension
329,Changing Lanes,Basement,Beside Myself
330,On My Own,New Found Glory,Resurrection: Ascension
331,Concrete,AS IT IS,"Never Happy, Ever After"
332,xanny,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
333,Mirrors,Microwave,Death is a Warm Blanket
334,Isolating Everything,Real Friends,The Home Inside My Head
335,Pine,Basement,Colourmeinkindness
336,xanny,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
337,Mirrors,Microwave,Death is a Warm Blanket
338,Concrete,AS IT IS,"Never Happy, Ever After"
339,Blood Infections,Frank Iero,Stomachaches
340,War,Kodaline,Coming Up for Air
341,Boots,Kesha,Rainbow
342,Mirrors,Microwave,Death is a Warm Blanket
343,Boots,Kesha,Rainbow
344,Honest,Kodaline,Coming Up for Air
345,Somebody Else,The Front Bottoms,Ann
346,Coals,Modern Baseball,Sports
347,I Want You,The Maine,Pioneer & The Good Love
348,Amnesia 666,Can't Swim,This Too Won't Pass
349,Stick Around,State Champs,"Apparently, I'm Nothing"
350,Amnesia 666,Can't Swim,This Too Won't Pass
351,Stick Around,State Champs,"Apparently, I'm Nothing"
352,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera
353,Halo,Basement,Promise Everything
354,Me Without You (All I Ever Wanted),All Time Low,Don't Panic: It's Longer Now!
355,Me Without You (All I Ever Wanted),All Time Low,Don't Panic: It's Longer Now!
356,My Hair,The Maine,American Candy
357,Notes,Modern Baseball,You're Gonna Miss It All
358,Aquasun - Acoustic,Basement,Promise Everything
359,Capitalismo,The Homeless Gospel Choir,I Used to Be So Young
360,Hurry up and Wait,State Champs,Around the World and Back (Deluxe)
361,Ugly on the Inside,The Maine,Forever Halloween (Deluxe Version)
362,The Day That I Ruined Your Life,Boston Manor,Welcome to the Neighbourhood
363,Capitalismo,The Homeless Gospel Choir,I Used to Be So Young
364,Me First,Real Friends,Composure
365,For Baltimore,All Time Low,Don't Panic
366,Here Comes the Anxiety,The Wombats,"Proudly Present... A Guide to Love, Loss & Desperation"
368,Plastic Flowers,The Front Bottoms,Back on Top
369,Neon Brother,Nothing But Thieves,Nothing But Thieves
370,Lose Your Mind,Kodaline,In A Perfect World (Deluxe)
371,Lime St.,Neck Deep,Life's Not Out To Get You
372,Lime St.,Neck Deep,Life's Not Out To Get You
373,Keep It Together,Real Friends,Everyone That Dragged You Here
374,Emoticons,The Wombats,Glitterbug
376,Numb Without You,The Maine,You Are OK
377,i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
378,Flashlight,The Front Bottoms,The Front Bottoms
379,The Party Scene,All Time Low,Put Up Or Shut Up
380,Painting Flowers,All Time Low,Painting Flowers
381,Birch Tree,Foals,What Went Down
382,Psychotic Kids,YUNGBLUD,21st Century Liability
383,Alien,Airways,Alien
385,Alien,Airways,Alien
386,Trampoline,Airways,Trampoline/The End
387,White Noise Boys,Airways,Starting to Spin
388,Birch Tree,Foals,What Went Down
389,Out Of Luck,Airways,Out Of Luck
390,White Noise Boys,Airways,Starting to Spin
391,Ghost Town,Airways,Ghost Town
392,The End,Airways,Trampoline/The End
393,One Foot,Airways,Starting to Spin
394,Mate,Airways,Starting to Spin
395,Graveyard Whistling,Nothing But Thieves,Nothing But Thieves
396,Disdain,Knuckle Puck,Copacetic
397,Time-Bomb,All Time Low,Dirty Work
398,Reckless Tongue,Airways,Starting to Spin
399,Alien,Airways,Alien
400,Blue Gasoline,Airways,Blue Gasoline
401,Cul-de-sac,The Wonder Years,The Greatest Generation
402,Hardwired,Steph Barrak,Words to Break Your Heart
403,Hardwired,Steph Barrak,Words to Break Your Heart
404,hostage,Billie Eilish,dont smile at me
405,U.N.I.,Ed Sheeran,+
407,Kids In The Dark,All Time Low,Future Hearts
409,And Don't Spare The Horses,The Eskies,And Don't Spare The Horses
410,Snake Oil,Foals,What Went Down
411,Youth,Daughter,If You Leave
412,Anyone Else,PVRIS,"All We Know Of Heaven, All We Need Of Hell"
413,.weighted.,Frank Iero,Stomachaches
414,I Must Be Dreaming,The Maine,Can't Stop Won't Stop
415,Don't Fill up on Chips,The Front Bottoms,Going Grey
416,EASE,Troye Sivan,Blue Neighbourhood
417,All Comes Down,Kodaline,In A Perfect World (Deluxe)
418,BITE,Troye Sivan,Blue Neighbourhood
419,Mountain,The Front Bottoms,The Front Bottoms
420,Inhaler,Foals,Holy Fire
