endTime,artistName,trackName,msPlayed
2022-12-09 18:36,Modern Baseball,Tears Over Beers,23
2022-12-09 18:36,Knuckle Puck,Disdain,0
2022-12-09 18:36,Hugh Jackman,Come Alive,766
2022-12-09 18:36,Airways,Trampoline,526
2022-12-09 18:36,Hayley Kiyoko,Ease My Mind,1106
2022-12-09 18:36,The Wonder Years,My Life as a Pigeon,23
2022-12-09 18:36,Have Mercy,This Old Ark,1535
2022-12-09 18:58,The Wonder Years,Came Out Swinging,198135
2022-12-11 11:10,AES DANA,Chrysalis - Ethereal Version,3040
2022-12-11 11:10,AES DANA,Opal-In,2680
2022-12-11 11:14,Makoto San,Gendèr,238661
2022-12-11 11:21,Wiljan,Onder,319304
2022-12-11 11:28,Nordlight & David,Silk & Roses,455847
2022-12-11 11:35,Kubbi,Something New,396013
2022-12-11 11:45,Orbital,The Girl with the Sun in Her Head,627000
2022-12-11 11:51,Orbital,The Box - Part 2,359586
2022-12-11 11:54,Breaka,Liquid Gold,168956
2022-12-11 12:02,Sync24,Dance of the Droids,398769
2022-12-11 12:18,Ferry Corsten,Kyoto - Extended Mix,370333
2022-12-11 12:26,AES DANA,Peripherics,437715
2022-12-11 12:31,Aphex Twin,Xtal,293751
2022-12-11 12:33,Nigel Stanford,Sea of Tranquility,166899
2022-12-11 12:40,The Crystal Method,Vapor Trail,393786
2022-12-11 12:48,Solar Fields,Pulse - Airwave Remix,474461
2022-12-11 12:49,Wiljan,The Unknown,63621
2022-12-11 12:57,Brassica,Time Tunnel - Original Mix,478598
2022-12-11 13:03,Liquid Soul,Devotion - Suduaya Remix,384444
2022-12-11 16:50,Billy Joel,Uptown Girl,861
2022-12-11 16:50,The Jackson 5,I Want You Back,1764
2022-12-11 16:50,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,1351
2022-12-11 16:51,Thin Lizzy,The Boys Are Back In Town,420
2022-12-11 16:52,Devon Cole,W.I.T.C.H.,67357
2022-12-11 16:56,Gerry Rafferty,Right Down the Line,267773
